DATE,COMREPAUQ159N
2005-10-01,0.12
2006-01-01,0.14
2006-04-01,0.17
2006-07-01,0.19
2006-10-01,0.24
2007-01-01,0.26
2007-04-01,0.28
2007-07-01,0.28
2007-10-01,0.3
2008-01-01,0.23
2008-04-01,0.11
2008-07-01,0.01
2008-10-01,-0.13
2009-01-01,-0.18
2009-04-01,-0.2
2009-07-01,-0.19
2009-10-01,-0.14
2010-01-01,-0.07
2010-04-01,0
2010-07-01,0.03
2010-10-01,0.05
2011-01-01,0.05
2011-04-01,0.05
2011-07-01,0.07
2011-10-01,0.07
2012-01-01,0.06
2012-04-01,0.07
2012-07-01,0.04
2012-10-01,0.03
2013-01-01,0.03
2013-04-01,0.03
2013-07-01,0.03
2013-10-01,0.04
2014-01-01,0.04
2014-04-01,0.04
2014-07-01,0.06
2014-10-01,0.07
2015-01-01,0.07
2015-04-01,0.08
2015-07-01,0.11
2015-10-01,0.13
2016-01-01,0.13
2016-04-01,0.11
2016-07-01,0.11
2016-10-01,0.11
2017-01-01,0.14
2017-04-01,0.18
2017-07-01,0.16
2017-10-01,0.16
2018-01-01,0.12
2018-04-01,0.1
2018-07-01,0.09
2018-10-01,0.07
2019-01-01,0.07
2019-04-01,0.06
2019-07-01,0.09
2019-10-01,0.11
2020-01-01,0.12
2020-04-01,0.09
2020-07-01,0.03
2020-10-01,0
