DATE,Australia,,"Belarus, Rep. of",,Brazil,,"China, P.R.: Hong Kong",,Denmark,,Germany,,Greece,,Indonesia,,Japan,,"Kosovo, Rep. of",,Latvia,,Lithuania,,Norway,,Portugal,,Saudi Arabia,,Switzerland,,Uganda,,United Kingdom,,United States,
1/1/2006,0.14,,,,6.98,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,13.92,
4/1/2006,0.17,,,,8.34,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,14.89,
7/1/2006,0.19,,,,8.20,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,15.50,
10/1/2006,0.24,,,,8.29,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,12.11,
1/1/2007,0.26,,,,8.57,,,,20.98,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,12.81,
4/1/2007,0.28,,,,8.19,,,,12.81,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,12.76,
7/1/2007,0.28,,,,9.25,,,,15.24,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,12.23,
10/1/2007,0.30,,,,10.66,,,,13.52,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,11.04,
1/1/2008,0.23,,,,12.47,,,,9.35,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,1.79,
4/1/2008,0.11,,,,13.45,,,,3.39,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,-6.49,
7/1/2008,0.01,,,,13.00,,,,4.94,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,-6.98,
10/1/2008,-0.13,,,,13.20,,,,-4.73,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,-11.29,
1/1/2009,-0.18,,,,13.58,,,,-17.42,,,,,,,,,,,,,,,,-2.60,,0.00,,,,,,,,,,-9.74,
4/1/2009,-0.20,,,,13.98,,,,-17.20,,,,,,,,-14.20,,,,,,,,-2.60,,0.00,,,,,,,,,,-19.32,
7/1/2009,-0.19,,,,13.48,,,,-20.99,,,,,,,,-11.10,,,,,,,,0.00,,0.00,,,,,,83.25,,,,-29.81,
10/1/2009,-0.14,,,,12.88,,14.60,,-17.02,,,,,,,,-8.90,,,,,,,,0.00,,0.00,,,,,,121.52,,,,-27.83,
1/1/2010,-0.07,,,,11.20,,38.00,,-6.05,,,,,,,,-1.70,,,,,,-26.54,,2.70,,0.00,,,,,,111.17,,,,-27.28,
4/1/2010,0.00,,,,10.53,,29.90,,-8.38,,,,,,,,-3.40,,,,,,-19.11,,2.70,,0.00,,,,,,84.06,,0.15,,-7.58,
7/1/2010,0.03,,,,11.12,,19.70,,2.59,,,,,,,,-1.00,,0.00,,,,-10.77,,2.60,,0.00,,,,,,87.96,,,,3.76,
10/1/2010,0.05,,,,10.75,,23.20,,-5.28,,,,,,,,-0.60,,0.00,,,,-4.87,,3.00,,-2.03,,,,,,80.81,,0.07,,6.27,
1/1/2011,0.05,,,,8.98,,28.30,,-7.21,,,,,,,,0.00,,0.00,,,,-1.39,,3.00,,0.00,,,,,,98.91,,,,11.94,
4/1/2011,0.05,,,,7.65,,33.92,,-8.63,,,,,,,,-0.30,,0.00,,,,-0.86,,16.00,,0.00,,,,,,75.08,,0.02,,3.77,
7/1/2011,0.07,,,,6.25,,34.90,,-12.27,,,,,,,,0.40,,0.00,,,,-0.18,,16.00,,0.00,,,,,,69.03,,,,0.75,
10/1/2011,0.07,,,,5.57,,19.03,,-12.86,,,,,,,,-0.20,,0.00,,,,0.12,,18.00,,-4.12,,,,,,61.07,,0.01,,4.91,
1/1/2012,0.06,,,,5.40,,8.02,,-6.21,,,,,,,,-2.60,,0.00,,,,0.75,,0.00,,0.00,,,,,,65.69,,,,5.09,
4/1/2012,0.07,,,,5.17,,5.11,,5.14,,,,,,,,0.30,,0.00,,,,0.94,,0.00,,0.00,,,,,,72.94,,0.01,,3.19,
7/1/2012,0.04,,,,5.70,,10.96,,-8.09,,,,,,,,-2.10,,0.00,,,,-0.89,,0.00,,0.00,,,,,,77.50,,,,8.24,
10/1/2012,0.03,,,,6.48,,20.70,,5.80,,,,,,,,0.20,,0.00,,,,0.60,,0.00,,-8.61,,,,,,68.86,,0.01,,4.34,
1/1/2013,0.03,,,,7.08,,30.50,,-0.40,,,,,,,,4.80,,0.00,,,,0.21,,2.00,,0.00,,,,,,67.19,,,,3.86,
4/1/2013,0.03,,,,7.97,,26.20,,-9.60,,,,,,,,6.10,,0.00,,,,1.14,,2.00,,0.00,,,,,,136.81,,0.00,,10.28,
7/1/2013,0.03,,,,8.36,,21.60,,3.80,,,,,,,,4.10,,0.00,,,,3.00,,4.00,,0.00,,,,,,173.01,,,,13.78,
10/1/2013,0.04,,,,7.83,,11.35,,-5.92,,,,,,,,4.60,,0.00,,,,1.47,,7.00,,-3.40,,,,,,175.61,,0.04,,14.86,
1/1/2014,0.04,,,,6.78,,4.02,,-0.32,,,,,,,,0.00,,0.00,,,,11.10,,0.07,,0.00,,,,,,184.88,,,,10.96,
4/1/2014,0.04,,,,4.84,,2.66,,-2.40,,,,,,,,0.20,,0.00,,,,8.50,,6.00,,0.00,,,,,,179.20,,0.10,,8.63,
7/1/2014,0.06,,,,2.91,,2.29,,-5.39,,,,,,,,3.00,,0.00,,,,10.90,,2.00,,0.00,,,,,,181.46,,,,5.00,
10/1/2014,0.07,,,,1.89,,3.55,,10.29,,,,-6.90,,,,2.90,,0.00,,,,11.70,,2.00,,3.69,,,,,,181.28,,,,7.02,
1/1/2015,0.07,,,,1.74,,3.88,,-4.75,,,,-6.90,,16.20,,6.80,,0.00,,,,8.30,,2.00,,0.00,,-1.02,,,,204.26,,,,14.61,
4/1/2015,0.08,,,,0.01,,5.85,,4.31,,,,-1.90,,28.63,,4.50,,0.00,,,,10.40,,-2.00,,0.00,,-5.21,,,,203.80,,,,13.18,
7/1/2015,0.11,,,,0.08,,8.21,,10.65,,,,-0.70,,22.60,,7.70,,0.00,,,,6.40,,-2.00,,0.00,,-7.29,,,,214.80,,,,11.95,
10/1/2015,0.13,,,,-1.70,,6.53,,0.12,,,,-0.70,,23.69,,5.10,,0.00,,,,8.00,,0.00,,3.53,,-8.28,,,,,,,,8.31,
1/1/2016,0.13,,,,-4.02,,0.90,,0.01,,,,0.10,,2.83,,4.80,,0.00,,,,8.50,,0.00,,0.00,,-6.87,,,,,,,,-0.62,
4/1/2016,0.11,,,,-3.05,,-5.88,,0.01,,,,0.20,,1.15,,4.00,,0.00,,,,10.40,,0.00,,0.00,,-7.07,,,,,,,,-0.29,
7/1/2016,0.11,,4.10,,-3.69,,-8.83,,0.01,,,,0.30,,0.31,,0.90,,0.00,,,,11.00,,8.30,,0.00,,-8.29,,,,,,,,3.43,
10/1/2016,0.11,,4.40,,-3.21,,-5.65,,-0.08,,,,0.30,,-0.17,,2.70,,0.00,,,,7.50,,8.30,,1.98,,-12.24,,,,,,,,4.58,
1/1/2017,0.14,,3.00,,-3.19,,6.45,,0.07,,,,0.70,,0.17,,2.80,,0.00,,,,7.40,,8.30,,0.00,,-11.67,,,,,,,,6.85,
4/1/2017,0.18,,-15.61,,-4.34,,15.54,,0.07,,,,0.70,,0.26,,1.00,,0.00,,,,2.60,,8.30,,0.00,,-10.91,,,,,,,,8.46,
7/1/2017,0.16,,-3.18,,-3.73,,16.99,,-0.03,,,,-0.70,,0.21,,4.20,,0.00,,,,2.00,,8.30,,0.00,,-8.92,,,,,,,,5.44,
10/1/2017,0.16,,9.16,,-4.11,,17.52,,0.06,,,,-0.70,,0.28,,6.50,,0.00,,,,,,8.30,,3.33,,-5.63,,,,,,,,7.65,
1/1/2018,0.12,,0.62,,-2.29,,12.78,,-0.01,,,,3.70,,0.93,,4.10,,0.00,,,,,,3.75,,0.00,,-4.36,,,,,,,,6.74,
4/1/2018,0.10,,24.92,,-2.07,,12.70,,-0.04,,,,3.70,,0.41,,5.90,,0.00,,,,3.10,,3.75,,0.00,,-2.55,,,,,,,,8.69,
7/1/2018,0.09,,36.96,,-2.61,,17.32,,0.09,,,,7.40,,0.52,,3.60,,0.00,,,,,,9.00,,0.00,,-2.06,,,,,,,,3.74,
10/1/2018,0.07,,17.03,,-2.62,,13.27,,-0.06,,,,7.40,,1.52,,-1.60,,0.00,,,,,,10.00,,4.88,,-3.11,,,,,,,,0.73,
1/1/2019,0.07,,18.72,,-3.49,,2.41,,0.02,,,,6.40,,0.95,,0.70,,0.00,,,,,,3.00,,0.00,,-3.00,,,,,,,,5.59,
4/1/2019,0.06,,22.68,,-3.04,,3.35,,0.13,,,,6.40,,1.50,,-0.60,,0.00,,,,,,2.50,,0.00,,-1.83,,,,,,,,5.39,
7/1/2019,0.09,,-2.59,,-2.72,,-3.44,,-0.14,,,,5.40,,1.37,,0.50,,0.00,,,,,,1.60,,0.00,,-1.20,,,,,,,,11.23,
10/1/2019,0.11,,-16.42,,-2.61,,-10.44,,0.05,,,,5.40,,0.32,,-0.40,,0.00,,,,,,0.90,,1.95,,-0.10,,,,,,,,8.04,
1/1/2020,0.12,,6.69,,-2.42,,-11.68,,-0.04,,,,4.10,,0.31,,-0.60,,0.00,,,,,,0.00,,0.00,,-0.50,,,,,,,,5.13,
4/1/2020,0.09,,12.67,,-2.27,,-19.66,,-0.11,,,,4.10,,0.29,,-3.40,,0.00,,,,,,0.00,,0.00,,-1.70,,,,,,,,0.81,
7/1/2020,0.03,,3.74,,-0.91,,-17.36,,0.04,,,,2.00,,0.26,,-5.40,,0.00,,,,,,0.00,,0.00,,-2.50,,,,,,,,-2.57,
10/1/2020,0.00,,2.95,,-1.21,,-5.88,,0.06,,,,2.00,,0.12,,,,0.00,,,,,,0.00,,0.00,,-1.90,,,,,,,,3.37,
