DATE,CAPUTLB50001SQ
1967-01-01,88.1495
1967-04-01,86.6086
1967-07-01,86.0431
1967-10-01,87.1866
1968-01-01,87.3382
1968-04-01,87.4754
1968-07-01,87.1317
1968-10-01,87.4386
1969-01-01,88.1538
1969-04-01,87.5958
1969-07-01,87.7126
1969-10-01,86.2541
1970-01-01,83.3339
1970-04-01,82.1060
1970-07-01,81.0594
1970-10-01,78.5815
1971-01-01,79.4304
1971-04-01,79.5427
1971-07-01,79.1885
1971-10-01,80.4193
1972-01-01,83.2466
1972-04-01,84.2173
1972-07-01,84.5997
1972-10-01,86.7472
1973-01-01,88.3890
1973-04-01,88.2432
1973-07-01,88.0881
1973-10-01,88.5200
1974-01-01,86.9414
1974-04-01,86.3339
1974-07-01,85.4111
1974-10-01,81.5445
1975-01-01,75.7354
1975-04-01,74.3767
1975-07-01,75.8130
1975-10-01,77.0461
1976-01-01,78.9344
1976-04-01,79.4437
1976-07-01,79.9634
1976-10-01,80.8526
1977-01-01,81.9236
1977-04-01,83.8647
1977-07-01,84.1075
1977-10-01,83.9389
1978-01-01,82.9891
1978-04-01,85.6215
1978-07-01,85.6270
1978-10-01,86.4231
1979-01-01,86.1196
1979-04-01,85.2734
1979-07-01,84.4080
1979-10-01,84.1860
1980-01-01,84.0317
1980-04-01,80.0228
1980-07-01,78.1906
1980-10-01,80.6725
1981-01-01,80.2956
1981-04-01,79.9110
1981-07-01,80.0808
1981-10-01,77.7584
1982-01-01,75.6982
1982-04-01,74.3439
1982-07-01,72.9711
1982-10-01,71.4135
1983-01-01,72.1039
1983-04-01,73.6387
1983-07-01,76.0751
1983-10-01,77.9021
1984-01-01,79.9426
1984-04-01,80.7874
1984-07-01,80.8584
1984-10-01,80.3607
1985-01-01,80.0382
1985-04-01,79.5152
1985-07-01,78.8423
1985-10-01,78.8377
1986-01-01,78.9552
1986-04-01,78.2048
1986-07-01,78.2612
1986-10-01,78.8531
1987-01-01,79.5149
1987-04-01,80.4718
1987-07-01,81.5247
1987-10-01,83.0931
1988-01-01,83.6226
1988-04-01,84.2163
1988-07-01,84.4262
1988-10-01,84.8427
1989-01-01,84.9323
1989-04-01,84.1774
1989-07-01,83.0942
1989-10-01,82.8238
1990-01-01,82.8531
1990-04-01,82.9191
1990-07-01,82.8208
1990-10-01,81.2016
1991-01-01,79.3934
1991-04-01,79.6267
1991-07-01,80.5034
1991-10-01,80.3492
1992-01-01,79.8380
1992-04-01,80.7586
1992-07-01,80.8737
1992-10-01,81.2315
1993-01-01,81.5632
1993-04-01,81.3717
1993-07-01,81.2978
1993-10-01,82.1446
1994-01-01,82.6072
1994-04-01,83.4522
1994-07-01,83.7387
1994-10-01,84.5819
1995-01-01,84.5799
1995-04-01,83.9655
1995-07-01,83.8106
1995-10-01,83.4816
1996-01-01,82.9462
1996-04-01,83.5908
1996-07-01,83.5141
1996-10-01,83.4824
1997-01-01,83.8394
1997-04-01,83.7200
1997-07-01,84.2218
1997-10-01,84.7657
1998-01-01,84.0721
1998-04-01,83.0299
1998-07-01,82.2388
1998-10-01,82.1957
1999-01-01,82.0189
1999-04-01,81.8018
1999-07-01,81.6371
1999-10-01,82.2040
2000-01-01,82.1756
2000-04-01,82.3466
2000-07-01,81.4467
2000-10-01,80.4212
2001-01-01,78.6142
2001-04-01,76.9200
2001-07-01,75.2501
2001-10-01,73.9525
2002-01-01,74.1238
2002-04-01,75.0645
2002-07-01,75.4501
2002-10-01,75.4210
2003-01-01,75.9543
2003-04-01,75.4404
2003-07-01,76.0059
2003-10-01,76.7770
2004-01-01,77.3560
2004-04-01,77.8436
2004-07-01,78.2956
2004-10-01,79.3507
2005-01-01,80.2969
2005-04-01,80.4609
2005-07-01,79.7948
2005-10-01,80.1729
2006-01-01,80.5907
2006-04-01,80.7053
2006-07-01,80.5602
2006-10-01,80.1800
2007-01-01,80.3673
2007-04-01,80.8160
2007-07-01,80.6020
2007-10-01,80.7728
2008-01-01,80.6307
2008-04-01,79.5863
2008-07-01,76.9890
2008-10-01,73.4823
2009-01-01,69.0740
2009-04-01,66.9643
2009-07-01,68.0544
2009-10-01,69.3714
2010-01-01,71.1240
2010-04-01,73.0147
2010-07-01,74.4176
2010-10-01,74.9974
2011-01-01,75.5032
2011-04-01,75.7263
2011-07-01,76.3521
2011-10-01,76.7472
2012-01-01,77.0749
2012-04-01,77.1398
2012-07-01,76.7275
2012-10-01,76.7566
2013-01-01,76.9781
2013-04-01,77.0595
2013-07-01,77.1468
2013-10-01,77.4690
2014-01-01,77.8381
2014-04-01,78.6688
2014-07-01,78.8992
2014-10-01,79.1253
2015-01-01,78.1199
2015-04-01,76.9371
2015-07-01,76.9365
2015-10-01,75.8732
2016-01-01,75.4227
2016-04-01,75.0895
2016-07-01,75.2181
2016-10-01,75.0720
2017-01-01,75.2292
2017-04-01,76.4658
2017-07-01,76.4795
2017-10-01,77.7126
2018-01-01,78.2665
2018-04-01,79.2525
2018-07-01,79.7174
2018-10-01,79.3762
2019-01-01,78.2868
2019-04-01,77.5035
2019-07-01,77.2499
2019-10-01,76.6137
2020-01-01,75.2676
2020-04-01,65.5859
2020-07-01,71.9489
2020-10-01,73.4144
2021-01-01,74.0632
