DATE,DRCRELEXFT100S
1991-01-01,17.17
1991-04-01,16.97
1991-07-01,16.76
1991-10-01,16.52
1992-01-01,16.24
1992-04-01,15.96
1992-07-01,15.80
1992-10-01,15.26
1993-01-01,13.81
1993-04-01,12.62
1993-07-01,11.25
1993-10-01,10.13
1994-01-01,8.93
1994-04-01,8.18
1994-07-01,7.14
1994-10-01,6.26
1995-01-01,6.24
1995-04-01,5.90
1995-07-01,5.42
1995-10-01,4.46
1996-01-01,4.41
1996-04-01,4.15
1996-07-01,4.08
1996-10-01,3.64
1997-01-01,3.22
1997-04-01,2.67
1997-07-01,2.49
1997-10-01,2.48
1998-01-01,2.33
1998-04-01,2.20
1998-07-01,2.06
1998-10-01,2.22
1999-01-01,2.09
1999-04-01,2.14
1999-07-01,1.72
1999-10-01,1.58
2000-01-01,1.60
2000-04-01,1.49
2000-07-01,1.49
2000-10-01,1.51
2001-01-01,1.56
2001-04-01,1.70
2001-07-01,1.98
2001-10-01,1.98
2002-01-01,1.81
2002-04-01,1.79
2002-07-01,1.67
2002-10-01,1.55
2003-01-01,1.60
2003-04-01,1.56
2003-07-01,1.42
2003-10-01,1.34
2004-01-01,1.16
2004-04-01,1.23
2004-07-01,1.18
2004-10-01,1.08
2005-01-01,1.09
2005-04-01,1.03
2005-07-01,1.06
2005-10-01,0.99
2006-01-01,0.94
2006-04-01,0.93
2006-07-01,0.99
2006-10-01,1.26
2007-01-01,1.35
2007-04-01,1.51
2007-07-01,1.83
2007-10-01,2.66
2008-01-01,3.46
2008-04-01,4.11
2008-07-01,4.62
2008-10-01,5.37
2009-01-01,6.64
2009-04-01,8.11
2009-07-01,9.20
2009-10-01,9.61
2010-01-01,9.73
2010-04-01,9.95
2010-07-01,9.55
2010-10-01,8.61
2011-01-01,8.18
2011-04-01,7.40
2011-07-01,6.90
2011-10-01,6.19
2012-01-01,5.48
2012-04-01,4.96
2012-07-01,4.46
2012-10-01,3.99
2013-01-01,3.50
2013-04-01,3.10
2013-07-01,2.58
2013-10-01,2.20
2014-01-01,1.93
2014-04-01,1.67
2014-07-01,1.53
2014-10-01,1.34
2015-01-01,1.18
2015-04-01,1.05
2015-07-01,0.95
2015-10-01,0.86
2016-01-01,0.80
2016-04-01,0.75
2016-07-01,0.69
2016-10-01,0.70
2017-01-01,0.65
2017-04-01,0.64
2017-07-01,0.65
2017-10-01,0.64
2018-01-01,0.64
2018-04-01,0.61
2018-07-01,0.59
2018-10-01,0.59
2019-01-01,0.59
2019-04-01,0.56
2019-07-01,0.59
2019-10-01,0.55
2020-01-01,0.71
2020-04-01,0.89
2020-07-01,1.04
2020-10-01,1.22
2021-01-01,1.13
