DATE,COMREPUSQ159N
2005-01-01,16.561
2005-04-01,13.147
2005-07-01,9.49
2005-10-01,11.323
2006-01-01,13.915
2006-04-01,14.885
2006-07-01,15.503
2006-10-01,12.109
2007-01-01,12.811
2007-04-01,12.761
2007-07-01,12.226
2007-10-01,11.035
2008-01-01,1.785
2008-04-01,-6.493
2008-07-01,-6.984
2008-10-01,-11.287
2009-01-01,-9.743
2009-04-01,-19.322
2009-07-01,-29.805
2009-10-01,-27.834
2010-01-01,-27.279
2010-04-01,-7.584
2010-07-01,3.764
2010-10-01,6.271
2011-01-01,11.937
2011-04-01,3.766
2011-07-01,0.746
2011-10-01,4.909
2012-01-01,5.088
2012-04-01,3.19
2012-07-01,8.235
2012-10-01,4.34
2013-01-01,3.86
2013-04-01,10.278
2013-07-01,13.781
2013-10-01,14.864
2014-01-01,10.958
2014-04-01,8.632
2014-07-01,5.004
2014-10-01,7.018
2015-01-01,14.606
2015-04-01,13.179
2015-07-01,11.946
2015-10-01,8.313
2016-01-01,-0.622
2016-04-01,-0.285
2016-07-01,3.43
2016-10-01,4.576
2017-01-01,6.854
2017-04-01,8.459
2017-07-01,5.44
2017-10-01,7.649
2018-01-01,6.742
2018-04-01,8.691
2018-07-01,3.735
2018-10-01,0.728
2019-01-01,5.594
2019-04-01,5.393
2019-07-01,11.227
2019-10-01,8.038
2020-01-01,5.126
2020-04-01,0.805
2020-07-01,-2.573
2020-10-01,3.37
