DATE,W068RCQ027SBEA
1960-01-01,144.233
1960-04-01,147.417
1960-07-01,150.459
1960-10-01,153.78
1961-01-01,157.254
1961-04-01,160.737
1961-07-01,162.661
1961-10-01,166.344
1962-01-01,170.892
1962-04-01,173.125
1962-07-01,175.597
1962-10-01,178.206
1963-01-01,179.393
1963-04-01,180.369
1963-07-01,184.862
1963-10-01,186.792
1964-01-01,190.075
1964-04-01,192.97
1964-07-01,193.295
1964-10-01,192.973
1965-01-01,196.198
1965-04-01,200.088
1965-07-01,208.98
1965-10-01,214.261
1966-01-01,221.114
1966-04-01,227.479
1966-07-01,235.644
1966-10-01,243.763
1967-01-01,255.415
1967-04-01,256.922
1967-07-01,264.199
1967-10-01,268.385
1968-01-01,277.111
1968-04-01,286.708
1968-07-01,292.215
1968-10-01,298.982
1969-01-01,300.566
1969-04-01,307.101
1969-07-01,313.917
1969-10-01,318.243
1970-01-01,325.878
1970-04-01,339.049
1970-07-01,346.412
1970-10-01,354.25
1971-01-01,358.566
1971-04-01,373.206
1971-07-01,377.132
1971-10-01,383.306
1972-01-01,399.428
1972-04-01,403.929
1972-07-01,404.908
1972-10-01,419.285
1973-01-01,426.927
1973-04-01,439.107
1973-07-01,437.629
1973-10-01,451.019
1974-01-01,465.643
1974-04-01,477.348
1974-07-01,507.012
1974-10-01,521.209
1975-01-01,550.065
1975-04-01,571.864
1975-07-01,583.501
1975-10-01,600.049
1976-01-01,609.583
1976-04-01,606.867
1976-07-01,619.599
1976-10-01,630.202
1977-01-01,645.408
1977-04-01,657.414
1977-07-01,669.001
1977-10-01,688.771
1978-01-01,702.391
1978-04-01,721.911
1978-07-01,749.361
1978-10-01,767.108
1979-01-01,776.403
1979-04-01,799.709
1979-07-01,829.638
1979-10-01,851.736
1980-01-01,892.895
1980-04-01,922.797
1980-07-01,956.08
1980-10-01,970.565
1981-01-01,1022.594
1981-04-01,1037.406
1981-07-01,1063.556
1981-10-01,1102.243
1982-01-01,1122.585
1982-04-01,1150.144
1982-07-01,1185.946
1982-10-01,1222.288
1983-01-01,1245.64
1983-04-01,1255.644
1983-07-01,1289.036
1983-10-01,1299.511
1984-01-01,1320.756
1984-04-01,1349.946
1984-07-01,1380.136
1984-10-01,1423.837
1985-01-01,1450.988
1985-04-01,1483.532
1985-07-01,1514.894
1985-10-01,1537.959
1986-01-01,1557.805
1986-04-01,1583.015
1986-07-01,1625.337
1986-10-01,1625.423
1987-01-01,1646.039
1987-04-01,1671.575
1987-07-01,1686.721
1987-10-01,1720.342
1988-01-01,1734.528
1988-04-01,1750.068
1988-07-01,1762.318
1988-10-01,1810.922
1989-01-01,1844.66
1989-04-01,1882.377
