DATE,IPB50001SQ
1919-01-01,4.7010
1919-04-01,4.7371
1919-07-01,5.2594
1919-10-01,5.1333
1920-01-01,5.6106
1920-04-01,5.3495
1920-07-01,5.2504
1920-10-01,4.5569
1921-01-01,3.9085
1921-04-01,3.8725
1921-07-01,3.9626
1921-10-01,4.2237
1922-01-01,4.5569
1922-04-01,4.8631
1922-07-01,5.1243
1922-10-01,5.7817
1923-01-01,5.9529
1923-04-01,6.2771
1923-07-01,6.0969
1923-10-01,5.8988
1924-01-01,5.9799
1924-04-01,5.5116
1924-07-01,5.3765
1924-10-01,5.8268
1925-01-01,6.1600
1925-04-01,6.1780
1925-07-01,6.1960
1925-10-01,6.4662
1926-01-01,6.4842
1926-04-01,6.5292
1926-07-01,6.6823
1926-10-01,6.7544
1927-01-01,6.7634
1927-04-01,6.7003
1927-07-01,6.5833
1927-10-01,6.3851
1928-01-01,6.5923
1928-04-01,6.6913
1928-07-01,6.9435
1928-10-01,7.2947
1929-01-01,7.5289
1929-04-01,7.7810
1929-07-01,7.8981
1929-10-01,7.3397
1930-01-01,6.9435
1930-04-01,6.6733
1930-07-01,6.0879
1930-10-01,5.6737
1931-01-01,5.5656
1931-04-01,5.5746
1931-07-01,5.1693
1931-10-01,4.7100
1932-01-01,4.4489
1932-04-01,3.9446
1932-07-01,3.8545
1932-10-01,4.1607
1933-01-01,3.9626
1933-04-01,4.7731
1933-07-01,5.7277
1933-10-01,4.9712
1934-01-01,5.2954
1934-04-01,5.5746
1934-07-01,5.0253
1934-10-01,5.1693
1935-01-01,5.8988
1935-04-01,5.8358
1935-07-01,6.0879
1935-10-01,6.5743
1936-01-01,6.4842
1936-04-01,7.0245
1936-07-01,7.4118
1936-10-01,7.8711
1937-01-01,8.2133
1937-04-01,8.3574
1937-07-01,8.2223
1937-10-01,6.7454
1938-01-01,5.9348
1938-04-01,5.7367
1938-07-01,6.3311
1938-10-01,6.9345
1939-01-01,7.1236
1939-04-01,7.1686
1939-07-01,7.7090
1939-10-01,8.6006
1940-01-01,8.3214
1940-04-01,8.5195
1940-07-01,8.9878
1940-10-01,9.5192
1941-01-01,10.3567
1941-04-01,11.0501
1941-07-01,11.4914
1941-10-01,11.7436
1942-01-01,12.3200
1942-04-01,12.1579
1942-07-01,12.8333
1942-10-01,13.9140
